advertisment_site,image,marka,gads,tilpums,tips,nobraukums,cena
/msg/lv/transport/cars/volvo/s60/bjbofe.html,https://i.ss.lv/gallery/7/1319/329508/65901558.th2.jpg,VolvoS60,2001,2.4,,427000,1700
/msg/lv/transport/cars/volvo/xc90/cclkie.html,https://i.ss.lv/gallery/7/1302/325368/65073566.th2.jpg,VolvoXC 90,2017,2.0,D,230000,24550
/msg/lv/transport/cars/honda/cr-v/cfimeh.html,https://i.ss.lv/gallery/7/1288/321965/64392858.th2.jpg,HondaCr-v,2012,2.2,D,259000,7950
/msg/lv/transport/cars/bmw/530/cdgxnl.html,https://i.ss.lv/gallery/7/1313/328225/65644953.th2.jpg,Bmw530,2004,3.0,,286000,4200
/msg/lv/transport/cars/alfa-romeo/giulietta/cfmoch.html,https://i.ss.lv/gallery/7/1319/329509/65901654.th2.jpg,Alfa romeoGiulietta,2011,2.0,D,205000,3900
/msg/lv/transport/cars/honda/cr-v/bpigxd.html,https://i.ss.lv/gallery/7/1319/329509/65901646.th2.jpg,HondaCr-v,2007,2.0,,330000,4650
/msg/lv/transport/cars/audi/a8/ekbbe.html,https://i.ss.lv/gallery/7/1317/329077/65815377.th2.jpg,AudiA8,2005,3.0,D,320000,5850
/msg/lv/transport/cars/renault/another/cblcde.html,https://i.ss.lv/gallery/7/1292/322905/64580910.th2.jpg,RenaultCiti,2024,1.6,H,81000,27990
/msg/lv/transport/cars/retro-cars/biifle.html,https://i.ss.lv/gallery/7/1319/329508/65901537.th2.jpg,-,1994,2.0,,,2200
/msg/lv/transport/cars/volkswagen/passat-b7/bnccbk.html,https://i.ss.lv/gallery/7/1319/329508/65901592.th2.jpg,VolkswagenPassat (B7),2014,2.0,D,409000,4999
/msg/lv/transport/cars/bmw/x5/beghon.html,https://i.ss.lv/gallery/7/1273/318063/63612421.th2.jpg,BmwX5,2014,3.0,D,207000,24900
/msg/lv/transport/cars/audi/a3/cdpxfp.html,https://i.ss.lv/gallery/7/1311/327666/65533174.th2.jpg,AudiA3,2003,2.0,D,312000,2200
